Question;Réponse
Dans les plans de retraite à cotisations définies, que recouvre le plus souvent la fonction de recordkeeping ?;Administration des plans : tenue des positions, conformité, communication et services aux participants.
Le « nombre effectif d'acteurs » (mesuré comme 1/HHI) d'environ 11,8 correspond à quel marché ?;Royaume-Uni
Quel grand acteur est issu de la fusion de Bank of New York et Mellon Financial, renforçant le couple « conservation + administration + gestion » ?;BNY Mellon
Une obligation notée AAA correspond généralement à :;Un risque de défaut très faible (meilleure qualité de crédit).
Selon le rapport Top 500 Asset Managers (Thinking Ahead Institute / Pensions & Investments), quelle part des actifs « surveyed » en 2023 est détenue via Mutual Funds / UCITS ?;52,4 %
Quel pays correspond à un ratio AUM/PIB d'environ 3,30 dans un tableau comparatif européen ?;Irlande
Quel nom est associé à une infrastructure largement utilisée pour industrialiser le risque, la gestion de portefeuille et certaines opérations chez un grand gestionnaire mondial ?;Aladdin
Parmi ces grands gestionnaires européens, lequel affiche le CAGR (taux de croissance annuel composé) le plus négatif sur la période renseignée ?;Credit Suisse
Dans les dispositifs d'épargne retraite à cotisations définies, que recouvre le plus souvent le recordkeeping ?;Administration des plans : tenue des positions, conformité, communication et services aux participants.
En 2023, la part des actifs détenus via des fonds (mutual funds / UCITS) est d'environ 52,4 %. De combien (en points de base) cette part a-t-elle augmenté sur l'année ?;114 bps
Dans quel périmètre s'appliquent directement des ratios réglementaires (ex. limites par émetteur, diversification) ?;Actifs sous gestion
Parmi les grands gestionnaires européens suivants, lequel affiche la plus forte croissance annuelle composée (CAGR) sur la période disponible ?;Amundi
Que signifie le terme discretionary AUM (encours discrétionnaires) ?;Des actifs sur lesquels le gestionnaire prend les décisions d'investissement.
Dans un marché national où le Top 3 regroupe environ 67 % des encours, quelle interprétation est la plus correcte ?;Marché très concentré, dominé par quelques grands acteurs.
Quel mécanisme vise à protéger les porteurs existants d'un fonds lorsque des souscriptions/rachats importants génèrent des coûts de transaction ?;Le swing pricing (ajustement de la NAV pour limiter la dilution liée aux flux).
Quel énoncé décrit le mieux le rôle des assureurs dans l'asset management ?;Investisseurs institutionnels majeurs gérant de grands portefeuilles long terme, avec fortes contraintes de liquidité, duration et solvabilité.
Quel organisme supervise les marchés et les sociétés de gestion aux États-Unis ?;SEC (Securities and Exchange Commission)
